sem,course,index,id,class,score
191,38fff3dd5a895628ad29e26eaff7556a49403d3c52e08a88792fd21fc299f5c5,1,406250632fc3bdb71a822e18c4b8153fc44f907a29576cea76e6571521aa5533,ITIT17UN31,60
191,38fff3dd5a895628ad29e26eaff7556a49403d3c52e08a88792fd21fc299f5c5,10,a19632a64855c4dfbf063be3273538cbc325231125f0fa8205f24e79559f9958,ITIT18UN31,65
191,38fff3dd5a895628ad29e26eaff7556a49403d3c52e08a88792fd21fc299f5c5,11,fc08ad852da347f2cc3ecd10002b493ba3a175d2a77d7b7946f0372417fe38aa,ITIT18UN21,100
191,38fff3dd5a895628ad29e26eaff7556a49403d3c52e08a88792fd21fc299f5c5,2,8663540cb8db4d3494e2f095775612cda6f0f904e6dd0e26127bdaaaa42d7833,ITIT17UN11,65
191,38fff3dd5a895628ad29e26eaff7556a49403d3c52e08a88792fd21fc299f5c5,3,1d1382138f922c4c8a8da766bb098b7e11ef342d50d76cb5b2a90b628cc78b41,ITIT17UN11,10
191,38fff3dd5a895628ad29e26eaff7556a49403d3c52e08a88792fd21fc299f5c5,4,8dd41a02fc2bcec50a630d28b0fbe3a71164301051da00c0679e20a1e85680bb,ITIT17UN31,25
191,38fff3dd5a895628ad29e26eaff7556a49403d3c52e08a88792fd21fc299f5c5,5,f8054cb65a5bc8867edfef4007f094d12c3bd46a30fd85cc029f158cf95cb59c,ITIT18UN21,63
191,38fff3dd5a895628ad29e26eaff7556a49403d3c52e08a88792fd21fc299f5c5,6,2a7c2438f6f8587aa992336b9945e50ca1238e43e98eb8147c018420ae95f7b2,ITIT18UN11,90
191,38fff3dd5a895628ad29e26eaff7556a49403d3c52e08a88792fd21fc299f5c5,7,e2852b9d6bb0181ff59f7ddf4bdf9aa3e1838b553fe52e77a8ecf63cba8a6cdf,ITIT18UN31,100
191,38fff3dd5a895628ad29e26eaff7556a49403d3c52e08a88792fd21fc299f5c5,8,1b7a60c2d8cef2b9c5f119a7aa0f4d88857320cb57f2e8aa704b742587b46308,ITIT18UN21,95
191,38fff3dd5a895628ad29e26eaff7556a49403d3c52e08a88792fd21fc299f5c5,9,03b304195878df6cd9a4b43a3a6e5a71d735b52569cad7dd4ef72ffc0ec307a7,ITIT18UN21,20
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,1,905c002099a0d8b6dddb808cda66b3e9419eac841d43933b7c9fef3ff059ad8f,ITIT13NE1,21
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,10,bf91b02ac99a8b29adfc54c378fe12b35a8ad91d773392bae23eda430c1491f4,ITIT15CS1,23
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,11,52f6813b1f3dbe471514011c82cea732732359a2743d203ba0ba2cd05c847d74,ITIT16CS1,98
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,12,8d4388aa762e7428d8aaf855e4ac97b4d8ff7a23a380381836fb53831631b150,ITIT16CS1,57
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,13,4a71c989dda0f87f6e678eb575ca08e21412a0e21fcf166df4f1397f48ef329d,ITIT16CS1,56
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,14,7d9ff1400daa1129b022ec9d48ba370a2b9bbaecc82632160991e6381b2dd0dc,ITIT16CS1,76
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,15,16802c7d79261e95d2f0dfe93e16c2a2b791b94474699968ca6e8225af16937f,ITIT16NE1,61
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,16,6c52f88d7ae1ad4cf6ccd6c6a15fc7eab6da7f82b1d17933386179efa95d460b,ITIT16CS1,64
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,17,aad589303857fc88697f55c8f9a6513fcad974f091dcba86514556b5fe372bfd,ITIT16CS1,55
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,18,51a31129dca51d1fef957e60502519e7fed9ce1a014d32849c1af7759ccf6eb1,ITIT16CS1,52
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,19,9f784e856bc8f4189ef799c5b49108bebeaeaf22e27186cf9eae73baf1ff89a6,ITIT16CS1,40
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,2,b24c0e66355ceda5cd7c70e1f76ba900f7ace20ee250ff48a58c439e85724b3f,ITIT14CS1,51
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,20,964cf0c737f482be7ce484e82e775311f3fd2f9ea8f9aa2f1fef6b2ef72104bf,ITIT16CS1,45
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,21,532aec7c280796b74a50874a19d585a90be46fbdd98d938281ce112b0a63e670,ITIT16CS1,46
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,22,4405d73f09c63823a573bbeb5f8f9a03d2fe442d476a11c1f545fdbfeba210c9,ITIT16NE1,I
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,23,56c216cc03e1016764848577ed5b06917e506640ddc7004e3575315a0d608178,ITIT16CS1,54
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,24,6e301b13569551dd5fecf324bffb124e572271143ca5b35d261194282ab2819e,ITIT16CS1,66
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,25,bb49c02700808e8a65e06f92c3eeed6a978fc622b674611ab460ea99b8dcda5f,ITIT16CS1,75
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,26,ce231888b56485e251ec66adad935f389d06e39b31f0c51d023dde5eb3005424,ITIT16CS1,38
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,27,f7220ceae8686c8f9adb24feb1b22c6422bd092e19001c0a7c465f76672344c5,ITIT16CS1,67
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,28,4502e21dd90792dd68834c10622bc9b53053930d20d0090474ca8fe4c6d83a5b,ITIT16CS1,69
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,29,6d91e3e67bea27da5fb6a4239794b4c106f5e98446d5f5657d1e330e726eb0ef,ITIT16CS1,55
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,3,f05d3684a4028059c7bce3b6f249dbe2fcf44ec5e3b7179e23096f16bf7bb8bd,ITIT14NE1,44
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,30,8914f9c908294eff30851a574e93973b0b7147cb06ba90281e784c89f1124b71,ITIT16CS1,42
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,31,15577101a7e714ba518bded082328c37cc9457f1a466b1bdd4ef0140c8f97b52,ITIT16NE1,44
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,32,24c1bcfff8ac093dd741572a41bc695c30634693e9f8abbb05fb3860b4bb5380,ITIT16IU21,47
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,33,b6431ec452e2d4911cb24b9eab91f68466c01e23e86b0024909d8da5f01d8411,ITIT16CS1,62
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,34,5b34bfe511af4f8c56f31e42b046f3ca915c13c4deca3d0de60d8a91b225ed73,ITIT16NE1,53
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,35,81453e25e1f7d3bfd277297743a4480b0764975abd5061186fd5879c131bf60b,ITIT16CS1,40
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,36,0cd277e7f456843aacae29ae6fe135f5801a21a141f0add28a3f0c2310b325e6,ITIT16CS1,59
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,37,99a2bcbf6474ed7fa19435156ff70ef3dc8320c66cd4e3f74f11cb00e1ba25cd,ITIT16CS1,60
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,38,23acf4b1604697179d714eb1d898607cf9114257a01d4caba0b9e049886569fb,ITIT16CS1,52
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,39,4f7781c2e501dcc76f5655fc83efd273c185ef0b429535723b35450af6cc568d,ITIT16CS1,53
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,4,a535f082a13a781c1bfcee24a9a0118c89f5f218f4976d6d18a6dec55702f888,ITIT14NE1,52
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,40,65b2da85d08b62ef85acafb15814fc74d764ecacfa84ce5b8d5eafc74aea45a3,ITIT16CS1,29
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,41,445b04fcbd6dfb9ab7ae1b88cd003e10dd9196e20df1a1040ad8641530468ec4,ITIT16CS1,44
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,42,fabe9e38a7793ce248c03d6db6c343f28aaa01cd5efcb38f103b78d7abcf1ca1,ITIT16CS1,53
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,43,b354871428e79312b7882caea052b597a781941d1b4eeb697e7dfee71d40c2d7,ITIT16IU11,60
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,44,fa375da3f1083cd2bc300ad2bd1d877eaea56ed81493ecd0c02a0dd4168acfc8,ITIT17CS2,87
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,45,4470a467f47e79725fb7e81248a3c1d1710dfb5a95cae45cf1791eda0c6481a2,ITIT17CS2,50
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,46,d73770b4b6e413e4c8d103538d6b26c1d230a907ae7710bd3a0975c5aff6eaf9,ITIT17CS1,65
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,47,72f0d33ab00b70a0ab8f92d9e5d715c3f8cab90b91267c9fbffa42adbc0bb581,ITIT17CS1,51
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,48,d0d4a66d690f2fe9af8aa0b86e1cf775e88b01f980dab0685dd887a01fdfb358,ITIT17CS1,65
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,49,ed567b008f827890970721d3bfbfae9d1d910eec01e00a7a4532136e417d00c9,ITIT17CS1,65
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,5,f9f1316975e8e24a168ea3a4c897e1a3f9c021c62617b21af0872aea5080715f,ITIT14CS1,36
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,50,265eef2abde037cdd61f0ef9cf506894ff479d73b68eafd3f5e8a6dfa0605a9b,ITIT17CS1,86
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,51,4a4f925c2563cd8c88351790a8f404371ffabd20fc442a573ba89e8ebfde9da6,ITIT17CS1,0
191,4e5a361bef3e32cf763dbf8bb0724035762b56bd369eff8715671511199cf19b,52,f543a1899471bd1ed800eb7d92d60c540c1f677537c4b66aafa707a2c6ec2067,ITIT17CS2,58
